time_iso,offset_s,tag,value_pct
2024-11-07T03:13:45+00:00,-15.0,20-PSHH2022,50.13
2024-11-07T03:13:46+00:00,-14.0,20-PSHH2022,50.06
2024-11-07T03:13:47+00:00,-13.0,20-PSHH2022,49.51
2024-11-07T03:13:48+00:00,-12.0,20-PSHH2022,50.24
2024-11-07T03:13:49+00:00,-11.0,20-PSHH2022,51.07
2024-11-07T03:13:50+00:00,-10.0,20-PSHH2022,49.92
2024-11-07T03:13:51+00:00,-9.0,20-PSHH2022,50.36
2024-11-07T03:13:52+00:00,-8.0,20-PSHH2022,50.66
2024-11-07T03:13:53+00:00,-7.0,20-PSHH2022,48.87
2024-11-07T03:13:54+00:00,-6.0,20-PSHH2022,49.29
2024-11-07T03:13:55+00:00,-5.0,20-PSHH2022,52.59
2024-11-07T03:13:56+00:00,-4.0,20-PSHH2022,59.16
2024-11-07T03:13:57+00:00,-3.0,20-PSHH2022,66.42
2024-11-07T03:13:58+00:00,-2.0,20-PSHH2022,72.61
2024-11-07T03:13:59+00:00,-1.0,20-PSHH2022,77.16
2024-11-07T03:14:00+00:00,0.0,20-PSHH2022,78.95
2024-11-07T03:14:01+00:00,1.0,20-PSHH2022,80.04
2024-11-07T03:14:02+00:00,2.0,20-PSHH2022,81.45
2024-11-07T03:14:03+00:00,3.0,20-PSHH2022,83.48
2024-11-07T03:14:04+00:00,4.0,20-PSHH2022,84.19
2024-11-07T03:14:05+00:00,5.0,20-PSHH2022,86.35
2024-11-07T03:14:06+00:00,6.0,20-PSHH2022,87.06
2024-11-07T03:14:07+00:00,7.0,20-PSHH2022,87.74
2024-11-07T03:14:08+00:00,8.0,20-PSHH2022,90.63
2024-11-07T03:14:09+00:00,9.0,20-PSHH2022,89.11
2024-11-07T03:14:10+00:00,10.0,20-PSHH2022,89.24
2024-11-07T03:14:11+00:00,11.0,20-PSHH2022,89.68
2024-11-07T03:14:12+00:00,12.0,20-PSHH2022,89.86
2024-11-07T03:14:13+00:00,13.0,20-PSHH2022,89.62
2024-11-07T03:14:14+00:00,14.0,20-PSHH2022,88.53
2024-11-07T03:14:15+00:00,15.0,20-PSHH2022,90.71
2024-11-07T03:14:16+00:00,16.0,20-PSHH2022,88.82
2024-11-07T03:14:17+00:00,17.0,20-PSHH2022,89.57
2024-11-07T03:14:18+00:00,18.0,20-PSHH2022,89.44
2024-11-07T03:14:19+00:00,19.0,20-PSHH2022,88.99
2024-11-07T03:14:20+00:00,20.0,20-PSHH2022,89.57
2024-11-07T03:14:21+00:00,21.0,20-PSHH2022,88.59
2024-11-07T03:14:22+00:00,22.0,20-PSHH2022,90.6
2024-11-07T03:14:23+00:00,23.0,20-PSHH2022,88.84
2024-11-07T03:14:24+00:00,24.0,20-PSHH2022,90.0
2024-11-07T03:14:25+00:00,25.0,20-PSHH2022,89.63
2024-11-07T03:14:26+00:00,26.0,20-PSHH2022,90.37
2024-11-07T03:14:27+00:00,27.0,20-PSHH2022,90.24
2024-11-07T03:14:28+00:00,28.0,20-PSHH2022,89.85
2024-11-07T03:14:29+00:00,29.0,20-PSHH2022,89.75
2024-11-07T03:14:30+00:00,30.0,20-PSHH2022,88.93
2024-11-07T03:14:31+00:00,31.0,20-PSHH2022,90.01
2024-11-07T03:14:32+00:00,32.0,20-PSHH2022,90.07
2024-11-07T03:14:33+00:00,33.0,20-PSHH2022,90.69
2024-11-07T03:14:34+00:00,34.0,20-PSHH2022,90.05
2024-11-07T03:14:35+00:00,35.0,20-PSHH2022,90.26
2024-11-07T03:14:36+00:00,36.0,20-PSHH2022,90.08
2024-11-07T03:14:37+00:00,37.0,20-PSHH2022,89.09
2024-11-07T03:14:38+00:00,38.0,20-PSHH2022,88.59
2024-11-07T03:14:39+00:00,39.0,20-PSHH2022,88.45
2024-11-07T03:14:40+00:00,40.0,20-PSHH2022,90.46
2024-11-07T03:14:41+00:00,41.0,20-PSHH2022,89.62
2024-11-07T03:14:42+00:00,42.0,20-PSHH2022,89.01
2024-11-07T03:14:43+00:00,43.0,20-PSHH2022,89.26
2024-11-07T03:13:45+00:00,-15.0,20-PSE2019,51.02
2024-11-07T03:13:46+00:00,-14.0,20-PSE2019,49.88
2024-11-07T03:13:47+00:00,-13.0,20-PSE2019,49.12
2024-11-07T03:13:48+00:00,-12.0,20-PSE2019,50.05
2024-11-07T03:13:49+00:00,-11.0,20-PSE2019,49.1
2024-11-07T03:13:50+00:00,-10.0,20-PSE2019,49.44
2024-11-07T03:13:51+00:00,-9.0,20-PSE2019,50.77
2024-11-07T03:13:52+00:00,-8.0,20-PSE2019,49.09
2024-11-07T03:13:53+00:00,-7.0,20-PSE2019,49.15
2024-11-07T03:13:54+00:00,-6.0,20-PSE2019,49.67
2024-11-07T03:13:55+00:00,-5.0,20-PSE2019,53.2
2024-11-07T03:13:56+00:00,-4.0,20-PSE2019,56.61
2024-11-07T03:13:57+00:00,-3.0,20-PSE2019,59.14
2024-11-07T03:13:58+00:00,-2.0,20-PSE2019,65.13
2024-11-07T03:13:59+00:00,-1.0,20-PSE2019,70.96
2024-11-07T03:14:00+00:00,0.0,20-PSE2019,74.38
2024-11-07T03:14:01+00:00,1.0,20-PSE2019,77.31
2024-11-07T03:14:02+00:00,2.0,20-PSE2019,79.29
2024-11-07T03:14:03+00:00,3.0,20-PSE2019,79.65
2024-11-07T03:14:04+00:00,4.0,20-PSE2019,82.74
2024-11-07T03:14:05+00:00,5.0,20-PSE2019,83.27
2024-11-07T03:14:06+00:00,6.0,20-PSE2019,85.05
2024-11-07T03:14:07+00:00,7.0,20-PSE2019,86.38
2024-11-07T03:14:08+00:00,8.0,20-PSE2019,87.69
2024-11-07T03:14:09+00:00,9.0,20-PSE2019,86.75
2024-11-07T03:14:10+00:00,10.0,20-PSE2019,88.27
2024-11-07T03:14:11+00:00,11.0,20-PSE2019,88.44
2024-11-07T03:14:12+00:00,12.0,20-PSE2019,90.09
2024-11-07T03:14:13+00:00,13.0,20-PSE2019,88.6
2024-11-07T03:14:14+00:00,14.0,20-PSE2019,90.33
2024-11-07T03:14:15+00:00,15.0,20-PSE2019,89.36
2024-11-07T03:14:16+00:00,16.0,20-PSE2019,88.97
2024-11-07T03:14:17+00:00,17.0,20-PSE2019,89.22
2024-11-07T03:14:18+00:00,18.0,20-PSE2019,89.45
2024-11-07T03:14:19+00:00,19.0,20-PSE2019,88.76
2024-11-07T03:14:20+00:00,20.0,20-PSE2019,89.94
2024-11-07T03:14:21+00:00,21.0,20-PSE2019,90.09
2024-11-07T03:14:22+00:00,22.0,20-PSE2019,90.26
2024-11-07T03:14:23+00:00,23.0,20-PSE2019,90.72
2024-11-07T03:14:24+00:00,24.0,20-PSE2019,89.93
2024-11-07T03:14:25+00:00,25.0,20-PSE2019,89.72
2024-11-07T03:14:26+00:00,26.0,20-PSE2019,89.67
2024-11-07T03:14:27+00:00,27.0,20-PSE2019,88.48
2024-11-07T03:14:28+00:00,28.0,20-PSE2019,88.96
2024-11-07T03:14:29+00:00,29.0,20-PSE2019,89.51
2024-11-07T03:14:30+00:00,30.0,20-PSE2019,90.72
2024-11-07T03:14:31+00:00,31.0,20-PSE2019,89.6
2024-11-07T03:14:32+00:00,32.0,20-PSE2019,89.49
2024-11-07T03:14:33+00:00,33.0,20-PSE2019,89.51
2024-11-07T03:14:34+00:00,34.0,20-PSE2019,90.56
2024-11-07T03:14:35+00:00,35.0,20-PSE2019,88.75
2024-11-07T03:14:36+00:00,36.0,20-PSE2019,90.34
2024-11-07T03:14:37+00:00,37.0,20-PSE2019,89.27
2024-11-07T03:14:38+00:00,38.0,20-PSE2019,90.01
2024-11-07T03:14:39+00:00,39.0,20-PSE2019,88.52
2024-11-07T03:14:40+00:00,40.0,20-PSE2019,90.46
